creatorID,name
277,"Ill.). Center for Book & Paper Arts Columbia College (Chicago"
278,"Ill.) Flat Publications (Chicago"
279,"Little Brown Mushroom (Firm)"
280,"Louis, 1977- Porter"
281,"Cristina, 1975- De Middel"
282,"Be Happy (Firm) Self Publish"
283,"Adam Broomberg"
284,"Oliver Chanarin"
285,"Gerhard, 1932- Richter"
286,"David, 1951- Schenck"
287,"Annie Herlocker"
288,"Betsy Neely"
289,"Ed Templeton"
290,"Sadie, 1973- Benning"
291,"Solveig Øvstebø"
292,"Elena Filipovic"
293,"University of Chicago. Renaissance Society"
294,"Kunsthalle Basel"
295,"Ross Bleckner"
296,"Cate Chason"
297,"Ned Irvine"
298,"Sophie Calle"
299,"Pauline Baggio"
300,"Melissa Catanese"
301,"Helge, 1966- Reumann"
302,"Xavier Robel"
303,"Bernardo (Domínguez Cereceres), 1960- Domínguez C."
304,Eko
305,"Jennifer, 1981- Brook"
306,"Tree House Press"
307,"Sheryl Oring"
308,"Fargo Books"
309,"Dennis Marsico"
310,"Dionysus Press"
311,"Zeca Baleiro"
312,"Roger Mello"
313,"Universidade Federal de Goiás"
314,"Luis, 1948- Lorente"
315,"Rolando, 1953- Estévez Jordán"
316,"Laura, 1966- Ruiz Montes"
317,"Dania, 1954- Rodríguez García"
318,"Frank David Valdés"
319,"Gladys Mederos"
320,"Israel, 1973- Domínguez"
321,"Abigail Wendler Uhteg"
322,"Karen Hanmer"
323,"Peter (Peter R.) Thomas"
324,"Donna (Donna Sue) Thomas"
325,"Peter & Donna Thomas (Firm)"
326,"Ann Lovett"
327,"Dawn Hachenski"
328,"William Cullen, 1794-1878 Bryant"
329,"Tan, 1957- Lin"
330,"Shana Moulton"
331,"James Copeland"
332,"Abū al-Ṭayyib Aḥmad ibn al-Ḥusayn, 915 or 916-965 Mutanabbī"
333,"Kathy Steinsberger"
334,"Lester B. Morrison"
335,"James, 1978- Franco"
336,"Alanna Heiss"
337,"Frank, 1939- Bidart"
338,"Eric, 1946- Boman"
339,"Jason, 1969- Schmidt"
340,"Marianne, 1981- Spurr"
341,"Roni, 1955- Horn"
342,"M. R. (Marilyn R.) Rosenberg"
343,"Ann R., 1937- Shapiro"
344,"Christian, 1972- Patterson"
345,"Ruth, 1956- Behar"
346,"Stuart, 1972- Griffiths"
347,"Gordon MacDonald"
348,"Miguel, 1940- Barnet"
349,"Jimmie Durham"
350,"William, 1955- Kentridge"
