creatorID,name,wikidata identifiers
499,Rebecca Solnit Mark Klett,
500,by Dorothea Lange & Paul Schuster Taylor,
501,Mark Klett,Q5638882
502,Raphael Pumpelly,Q377078
503,Balázs Czeizel,Q65217101
504,Jill Timm,
505,project director ; Kyle Bajakian [et al Mark Klett,
506,and an interview with the photographer by Karin Breuer Mark Klett ; with Michael Lundgren ; essays by Philip L. Fradkin and Rebecca Solnit,
507,Mark Klett ; essay by Gregory McNamee,
508,Aline Diépois & Thomas Gizolme,
509,Alec Soth & Brad Zellar,
510,David Schulz,
511,Peter Happel Christian; [text by Liz Sales,
512,poem by] Gary Snyder ; book was made by Peter and Donna Thomas ; [afterword by] Tom Killion,
513,Michelle Stuart,Q6837258
514,Suzanne Lacy,Q7650894
515,Fortunato Depero,Q1125077
516,Allan Kaprow,Q366380
517,Douglas Huebler,Q248070
518,Alice Aycock,Q523722
519,Carolee Schneemann,Q299662
520,Henry Greenhow,Q94534803
521,Michael Harvey,
522,Marcia Resnick,Q23091918
523,Martine d'Argembeau,
524,Fernand Spillemaeckers,
525,Les Levine,Q18023286
526,Susan Elizabeth King 1947-,
527,Women's Graphic Center,
528,Edda Renouf,Q20855646
529,Constance DeJong,
530,Eve Sonneman,Q15452027
531,Carole Conde,
532,Karl Beveridge,Q55218654
533,Daniel Buren,
534,Mel Bochner,Q1485390
535,Robert Smithson,
536,Bruce Nauman,
537,John Baldessari,Q683378
538,Don Celender,Q28873078
539,N.Y.) O.K. Harris Gallery (New York,
540,Gilbert,
541,George,
542,Michael Snow,
543,Yves Gevaert,
544,Hamburg Hossmann,
545,Madeline Gins,Q6727008
546,"Shūsaku, 1936-2010 Arakawa",
547,Vaughan Rachel,
548,Robert Barry 1936-,
549,Jan Dibbets,Q573374
550,Maurice Lemaitre,
551,Eduardo Paolozzi,Q165397
552,Joseph Kosuth,Q313113
553,"Jerry, 1936- McMillan",
554,Mason Williams,
555,Kunsthalle Bern,
556,Emmett Williams,
557,Fred Escher,Q111077228
558,Robert Leverant,Q131681692
559,Jim Dine,
560,Ron Padgett,Q2165516
561,"Leslie, 1944- King-Hammond",
