uri,vocabularies,label_count,labels
http://id.loc.gov/authorities/subjects/sh2010102633,lcsh,1,Multimedia (Art) -- Exhibitions
http://id.loc.gov/authorities/subjects/sh2010103459,,1,New York (State) -- Pictorial works
http://id.loc.gov/authorities/subjects/sh2010103980,lcsh,1,Nuclear power plants -- Health aspects
http://id.loc.gov/authorities/subjects/sh2010105807,lcsh,1,"Persian Gulf War, 1991 -- Personal narratives"
http://id.loc.gov/authorities/subjects/sh2010106285,lcsh,1,Photography -- Mexico
http://id.loc.gov/authorities/subjects/sh2010107498,lcsh,1,Pop-up books -- Specimens
http://id.loc.gov/authorities/subjects/sh2010107810,lcsh,1,Post-traumatic stress disorder -- United States
http://id.loc.gov/authorities/subjects/sh2010107859,lcsh,1,Postcards -- Collectors and collecting
http://id.loc.gov/authorities/subjects/sh2010108029,lcsh,1,Pregnancy -- Pictorial works
http://id.loc.gov/authorities/subjects/sh2010108675,lcsh,1,Prostitution -- Europe
http://id.loc.gov/authorities/subjects/sh2010112819,lcsh,1,Sex discrimination against women -- India
http://id.loc.gov/authorities/subjects/sh2010112867,lcsh,1,Sexual harassment -- United States
http://id.loc.gov/authorities/subjects/sh2010113271,lcsh,1,Slavery -- United States -- Poetry
http://id.loc.gov/authorities/subjects/sh2010113613,lcsh,1,Social movements -- Mexico -- History -- 20th century
http://id.loc.gov/authorities/subjects/sh2010114197,lcsh,1,"Songs, Spanish -- Cuba"
http://id.loc.gov/authorities/subjects/sh2010115155,lcsh,1,"Survival -- Handbooks, manuals, etc"
http://id.loc.gov/authorities/subjects/sh2010117770,lcsh,1,"Vietnam War, 1961-1975 -- Veterans -- United States"
http://id.loc.gov/authorities/subjects/sh2010117810,lcsh,1,Video art -- United States -- Exhibitions
http://id.loc.gov/authorities/subjects/sh2010118172,lcsh,1,War and society -- United States
http://id.loc.gov/authorities/subjects/sh2010118213,lcsh,1,Women photographers -- United States -- Biography
http://id.loc.gov/authorities/subjects/sh2010118899,lcsh,1,Women -- Employment -- Australia
http://id.loc.gov/authorities/subjects/sh2010119307,lcsh,1,Writing in art -- Exhibitions
http://id.loc.gov/authorities/subjects/sh2011000325,lcsh,1,Invisibility
http://id.loc.gov/authorities/subjects/sh2011003638,lcsh,1,Thought and thinking in art
http://id.loc.gov/authorities/subjects/sh2011004490,,1,"Egypt -- History -- Protests, 2011-2013"
http://id.loc.gov/authorities/subjects/sh2011006069,lcsh,1,Typewriters in art
http://id.loc.gov/authorities/subjects/sh2012000115,lcsh,1,Law and secrecy
http://id.loc.gov/authorities/subjects/sh2012000178,lcsh,1,Social media in art
http://id.loc.gov/authorities/subjects/sh2012000484,lcsh,1,"Recycling (Waste, etc.) in art"
http://id.loc.gov/authorities/subjects/sh2012001613,lcsh,1,Mannequins (Figures) in art
http://id.loc.gov/authorities/subjects/sh2012002128,lcsh,1,International law and human rights
http://id.loc.gov/authorities/subjects/sh2012004587,lcsh,1,Diaries in art
http://id.loc.gov/authorities/subjects/sh2013001204,lcsh,1,Coffee stains
http://id.loc.gov/authorities/subjects/sh2013002597,lcsh,1,Hacking
http://id.loc.gov/authorities/subjects/sh2014000656,lcsh,1,Periodic table of the elements
http://id.loc.gov/authorities/subjects/sh2014001772,lcsh,1,Avarice in art
