cluster,labels,include,conceptId,category,prefLabel,note
http://vocab.getty.edu/aat/300191818.,Handmade.,y,handmade,process-technique,Handmade,
http://vocab.getty.edu/aat/300194347.,Visual poetry.,y,poetry,,,
http://vocab.getty.edu/aat/300194509.,Bags (generic containers),y,bag,enclosure,Bag,
http://vocab.getty.edu/aat/300195133.,Book jackets.,y,dust-jacket,,,
http://vocab.getty.edu/aat/300198929.,Portfolios (containers),y,portfolio,enclosure,Portfolio,
http://vocab.getty.edu/aat/300199780.,Ollas (vessels),y,pot,enclosure,Pot (vessel),
http://vocab.getty.edu/aat/300207379.,Stickers.,y,stickers,structure-format,Stickers,
http://vocab.getty.edu/aat/300211072.,Blocks (toys),y,blocks,,,
http://vocab.getty.edu/aat/300211178.,Paper dolls.,y,paper-doll,,,
http://vocab.getty.edu/aat/300211392.,Wrappers (book covers),y,wrapper,enclosure,Wrapper,
http://vocab.getty.edu/aat/300212499.,Shirts (main garments),y,textile,,,
