refKey,refTitle,bookKey,bookTitle,verbatim,decision,notes
BEGEG5AI,Artists books,UP4WSIWQ,"The World after September 11, 2001: A Reinforced Book","Wasserman, Krystyna. The Book as Art : Artists’ Books from the National Museum of Women in the Arts. New York: Princeton Architectural Press, 2007. p.112.",no,
BEGEG5AI,Artists books,UX9YRGDW,"Sanctae Hildegardis Circulus sapientiae = Hildegard von Bingen 1098-1179, Circle of wisdom","Wasserman, Krystyna. The Book as Art : Artists’ Books from the National Museum of Women in the Arts. New York: Princeton Architectural Press, 2007. p.179.",no,
BEGEG5AI,Artists books,V8FY4V3L,i,"Wasserman, Krystyna. The Book as Art : Artists’ Books from the National Museum of Women in the Arts. New York: Princeton Architectural Press, 2007. p.79",no,
BEGEG5AI,Artists books,VBBTJ22F,Song lines,"Wasserman, Krystyna. The Book as Art : Artists’ Books from the National Museum of Women in the Arts. New York: Princeton Architectural Press, 2007. pp.134-135.",no,
KK7KVWQT,Design Indaba,VD4UBR8V,Mourning/Warning: an abecedarian,"Blassingame, Tia. ""The texture of racism & slavery in the United States – a talk."" Filmed September 2015 at Design Indaba Conference, Cape Town, South Africa. Video, 8:44. https://youtu.be/4Xz9RCGtR_M",no,
BEGEG5AI,Artists books,VH5MGEBA,Twentysix gasoline stations.,"Vanderlip, Dianne Perry, John Perreault, and Lynn Lester Hershman. Artists Books. Philadelphia: [Moore College of Art?], 1973. pp.12-13.",yes,
BEGEG5AI,Artists books,VNPJWWY5,Inside chance,"Wasserman, Krystyna. The Book as Art : Artists’ Books from the National Museum of Women in the Arts. New York: Princeton Architectural Press, 2007. pp.166-167.",no,
BEGEG5AI,Artists books,VWE46VP7,1940-1945 remembered: an artist's book,"Wasserman, Krystyna. The Book as Art : Artists’ Books from the National Museum of Women in the Arts. New York: Princeton Architectural Press, 2007. pp.108-109.",no,
BEGEG5AI,Artists books,VYIXNANQ,Des vacances en Europe (European vacation),"Wasserman, Krystyna. The Book as Art : Artists’ Books from the National Museum of Women in the Arts. New York: Princeton Architectural Press, 2007. p.144.",no,
BEGEG5AI,Artists books,W29DKT6N,Swiss Army Book,"Wasserman, Krystyna. The Book as Art : Artists’ Books from the National Museum of Women in the Arts. New York: Princeton Architectural Press, 2007. p.181.",no,
BEGEG5AI,Artists books,W5UKZF63,Ovubet: 26 girls with sweet centers,"Wasserman, Krystyna. The Book as Art : Artists’ Books from the National Museum of Women in the Arts. New York: Princeton Architectural Press, 2007. pp.32-33.",no,
BEGEG5AI,Artists books,WHJR39RL,Seven Windows,"Wasserman, Krystyna. The Book as Art : Artists’ Books from the National Museum of Women in the Arts. New York: Princeton Architectural Press, 2007. pp.46-47.",no,
BEGEG5AI,Artists books,X7A9VYQC,Voyelles,"Wasserman, Krystyna. The Book as Art : Artists’ Books from the National Museum of Women in the Arts. New York: Princeton Architectural Press, 2007. pp.158-159.",no,
BEGEG5AI,Artists books,XDHS22JF,She Has Vanished from the Outside and Gone Within...,"Wasserman, Krystyna. The Book as Art : Artists’ Books from the National Museum of Women in the Arts. New York: Princeton Architectural Press, 2007. p.76-77 .",no,
BEGEG5AI,Artists books,YRNPGXQ6,Freedom: a fable : a curious interpretation of the wit of a negress in troubled times,"Wasserman, Krystyna. The Book as Art : Artists’ Books from the National Museum of Women in the Arts. New York: Princeton Architectural Press, 2007. p.44.",no,
BEGEG5AI,Artists books,ZDXJNGBW,"First Brush Stroke, Books 1, 2, and 3","Wasserman, Krystyna. The Book as Art : Artists’ Books from the National Museum of Women in the Arts. New York: Princeton Architectural Press, 2007. p.156.",no,
YT3YGXMT,"Two hundred books by Keith Smith : book number 200, an anecdotal bibliography",,,"Smith, Keith A. Two hundred books by Keith Smith: book number 200, an anecdotal bibliography. Rochester, N.Y.: Keith Smith Books, 2000. p.205.",,should also be entered as an artist book
