lib1Key,twinKey,twinLib,method,confidence,review,lib1Title,twinTitle,decision,notes
YTMMPSV5,RCSBNLUB,3,fuzzy,0.990,,The story of o.,The story of o.,,
MYI3QKVP,DGQAHVPP,3,fuzzy,0.990,,Retrospective,Retrospective,,
Y674F2JV,K6ZQF6HB,3,fuzzy,0.990,,Paula Rae Gibson (fear I know not) I'll always walk away,Paula Rae Gibson (fear I know not) I'll always walk away,,
54B9KKC3,ZU4KHA9D,3,fuzzy,0.990,,The king of things = El rey de las cosas,The king of things = El rey de las cosas,,
PGMABZSS,RPZT3YPU,3,fuzzy,0.990,,Corners,Corners,,
3L36U9YX,S5CFHG87,3,fuzzy,0.990,,Memory loss,Memory loss,no,unless same author
NYLUKXKE,SGCKIGXG,3,fuzzy,0.990,,Complexities,Complexities,,
2XLRZGND,WDD87XPC,3,fuzzy,0.990,,Grace's daughter,Grace's daughter,,
DXHKFESU,MH2GLXMN,3,fuzzy,0.990,,Knights of Assisi : a journey through the tarot,Knights of Assisi : a journey through the tarot,,
F95AQ7S7,XNH2F8EB,3,fuzzy,0.990,,Bad,Bad,,
6STZMJ5M,G4XRMULE,3,fuzzy,0.990,,My constant companion,My constant companion,,
5IMTCWXD,VE6TCWY6,3,fuzzy,0.990,,Seasonal turns : four accordion books,Seasonal turns : four accordion books,,
24ICFDNJ,YXLZZIW6,3,fuzzy,0.934,,Mountain dream tarot : a deck of 78 photographic cards,Mountain dream tarot [flash card] : a deck of 78 photographic cards,,
W2E83SS4,5DW235NM,3,fuzzy,0.990,,Turning fifty,Turning fifty,,
5HEDP9TN,DICUCMKJ,3,fuzzy,0.990,,Flamingo in the dark : images,Flamingo in the dark : images,,
P3N2IHVX,3BS5FWE8,2,fuzzy,0.990,,Otherspace : Martian ty/opography,Otherspace : martian ty/opography,,
S3PRV2XI,WJKYKWV9,3,fuzzy,0.990,,The circular ruins,The circular ruins,,
DP5Q7J4G,UCTSXTP3,3,fuzzy,0.990,,Nineteen nights in San Francisco,Nineteen nights in San Francisco,,
GAD4GLLL,9D7CD9RC,3,fuzzy,0.990,,Si fueras--,Si fueras--,,
FGQXA465,LNFAZY2F,3,fuzzy,0.990,,Paulette me había dejado una nota en el buzón,Paulette me había dejado una nota en el buzón,,
RTHTYZE9,CGFXKRSP,3,fuzzy,0.990,,Mi niña veneno en el jardin de las baladas del recuerdo : (2000-1996),Mi niña veneno en el jardin de las baladas del recuerdo : (2000-1996),,
6QD6LFLP,U3MTCI8Z,3,fuzzy,0.990,,Pirozzi : un invento argentino.,Pirozzi : un invento argentino.,,
U6KEP6KP,UD55X7BH,3,fuzzy,0.990,,Siesta argentina,Siesta argentina,,
S42V8EBK,ESSDX4JS,3,fuzzy,0.990,,Caído del cielo,Caído del cielo,,
NXFZ7UE4,U5ALJUNN,3,fuzzy,0.990,,Adán,Adán,,
CLACMR53,PP5LPWPN,3,fuzzy,0.990,,"El cuello de tres picos, dos patos y pico ; La mesa está servida : ¿nos sentamos a la mesa? ; El desnudo entre tanto se mantiene ; Las visiones del hornero el cielo, alas","El cuello de tres picos, dos patos y pico ; La mesa está servida : ¿nos sentamos a la mesa? ; El desnudo entre tanto se mantiene ; Las visiones del hornero el cielo, alas",,
AJE8UGW7,ZNYNAY55,3,fuzzy,0.990,,"Versos sencillos, IX : (La niña de Guatemala)","Versos sencillos, IX : (La niña de Guatemala)",,
YUIPWEIK,LTZ95FTJ,3,fuzzy,0.990,,Baja presión,Baja presión,,
5JVN6K8F,KCQ745ET,3,fuzzy,0.990,,Serie anomalías,Serie anomalías,,
NI3UZLKS,5VMVZ3JB,3,fuzzy,0.990,,Lotería fotográfica mexicana : cantada con refranes y coplas de la lírica popular,Lotería fotográfica mexicana : cantada con refranes y coplas de la lírica popular,,
C3KU9PZ5,DF9LFBDT,3,fuzzy,0.990,,Unravelling the ripple,Unravelling the ripple,,
WJI3MS2X,P3T4YANB,3,fuzzy,0.990,,Rex reason,Rex reason,,
XSZNK8DL,CQ6WMXZ3,3,fuzzy,0.990,,Make everything new : a project on communism,Make everything new : a project on communism,,
7MFURWM7,SPSCF4U6,2,fuzzy,0.990,,It wasn't Little Rock,It wasn't Little Rock,,
G4T6UY2M,JY2G3WI2,3,fuzzy,0.990,,Gray's brain,Gray's brain,same,
L3TS5FQB,YWB3954W,3,fuzzy,0.990,,The mission,The mission,,
3BQCQGHP,3QXCAUBS,3,fuzzy,0.990,,Das Lamm,Das Lamm,,
EJGSE7FM,PBDUAC8I,3,fuzzy,0.990,,The index,The index,,
QQE5ACCC,IT4RYKPH,3,fuzzy,0.990,,Trawling my North Shore mind,Trawling my North Shore mind,,
8S2NDJKF,ZXYGRPTZ,3,fuzzy,0.990,,Hours,Hours,,
7X2BWWRD,QFYGZM3A,3,fuzzy,0.990,,The jumblies,The jumblies,,
77LCCKPR,B5S4K6IA,3,fuzzy,0.990,,A reminder : an open book test,A reminder : an open book test,,
VLVKFL26,5VWS7Q8P,3,fuzzy,0.990,,Lissen here!,Lissen here!,,
78ATIMKR,PW4DUPHY,3,fuzzy,0.990,,Ponderance,Ponderance,,
GGCQLDFC,KVE8M4XD,3,fuzzy,0.990,,Love,Love,,
9LQCEIZA,E5CM7GH2,3,fuzzy,0.990,,Auschwitz.,Auschwitz.,same,
8L8MVWM2,WALLULYV,3,fuzzy,0.990,,Primary faces,Primary faces,,
E8JN5ASB,8MNVVUDS,3,fuzzy,0.990,,"Gabriel Gárcia Márquez, Chronicle of a death foretold : a typographic narrative.","Gabriel Gárcia Márquez, Chronicle of a death foretold : a typographic narrative.",,
DW5PRAEB,HQKRI38G,3,fuzzy,0.990,,Come again,Come again,same,
JY9Y4AXX,EVQIJIVY,3,fuzzy,0.990,,"Gaby y el amor : seguido por, El pobre Rodríguez","Gaby y el amor : seguido por, El pobre Rodríguez",,
6BBVES93,5IABCDQ2,3,fuzzy,0.990,,Llamado por los malos poetas ; Lo cristalino,Llamado por los malos poetas ; Lo cristalino,,
XPFDFL9C,H7X35XED,3,fuzzy,0.990,,Umbanda Jackson,Umbanda Jackson,,
NVRCGSWV,QQ26PJLJ,3,fuzzy,0.990,,Aún soltera,Aún soltera,,
ZCP4MY98,QG6C4UVE,3,fuzzy,0.990,,Delirios líricos,Delirios líricos,,
TDI6UIIQ,9FX8NRGF,3,fuzzy,0.990,,Anotaciones para una cumbia,Anotaciones para una cumbia,,
9TN9ELNF,G9VEB5UB,3,fuzzy,0.990,,Seudónimos de la muerte 1973-1983,Seudónimos de la muerte 1973-1983,,
KVC8CGLL,9M4MSDAN,3,fuzzy,0.990,,The far country,The far country,,
KDYM4HVW,ZV2B9FCC,3,fuzzy,0.990,,Invocation to the water spirits,Invocation to the water spirits,,
RP5H9K4J,CFIF9DHE,3,fuzzy,0.990,,The people's portraits of Bush.,The people's portraits of Bush.,,
TP48X73P,NEWYUCJW,3,fuzzy,0.990,,The stars,The stars,same,
F3QBXGRS,7XD6IHK6,3,fuzzy,0.990,,Pit's letter,Pit's letter,,
IUIAF2BG,GMM35RYA,3,fuzzy,0.990,,Me a mound,Me a mound,,
EZHEFCGQ,VKRNHAGI,3,fuzzy,0.990,,The purification of fagus sylvatica var pendula,The purification of fagus sylvatica var pendula,,
3M7S4K3S,GGXTG7D7,3,fuzzy,0.990,,For the voice,For the voice,,
GNEJCRC6,5BTUNLK2,3,fuzzy,0.990,,Retórica erótica,Retórica erótica,,
PSIY8T9P,C7C2WC28,3,fuzzy,0.990,,Buenos Aires tour,Buenos Aires tour,same,
LRRPVEM6,AA6G4J2A,3,fuzzy,0.990,,Wonderwater (Alice Offshore),Wonderwater (Alice Offshore),,
ZE2MCHZ5,PEEGHK2R,3,fuzzy,0.990,,Telegrafías,Telegrafías,,
E26WR9FM,XS8JUKLN,3,fuzzy,0.990,,Pinturas en el cielo,Pinturas en el cielo,,
4EPKWKUP,ZSIHGLFW,3,fuzzy,0.990,,Bully!,Bully!,,
P9KVEARW,2PSMHYVM,3,fuzzy,0.990,,Women,Women,same,
H98IN98U,FJFSZBAP,3,fuzzy,0.990,,Para ver antes de ir a la cama : (tædium vitæ),Para ver antes de ir a la cama : (tædium vitæ),,
2N8GIG9N,B3VN2FLE,3,fuzzy,0.990,,Colección Golosina.,Colección Golosina.,,
WHXWVCZV,6SAEFZ2Z,3,fuzzy,0.990,,El libro del fin del mundo,El libro del fin del mundo,,
