canonicalKey,canonicalLib,held,sourceKeys,title,date,publisher,place,ISBN,ISSN,language,numPages,edition,series,seriesNumber,callNumber,url,extra,shortTitle,creators
G7EEP5BC,3,,3:G7EEP5BC; 2:BWR9TFQS,Gerhard Richter : books,2014-00-00 2014,Gregory R. Miller & Co.,"New York, NY",978-1-941366-01-1,,,,,,,,,,Gerhard Richter,Dietmar Elger; Fiona Elliott; Hans Ulrich Obrist; Gerhard Richter; Dieter Schwarz
JQYAM7ED,3,,3:JQYAM7ED; 2:E8PTGE57,Global books: les livres d'artistes de Gervais Jassaud.,2007-00-00 2007,Ville de Reims,Reims,978-2-901816-30-0,,French,143,,,,,,,Global books,Gervais Jassaud; Ville de Reims (Reims)
3U57EW9N,3,,3:3U57EW9N; 2:2CFIWWFD,Half-life : 25 years of books by Barbara Tetenbaum & Triangular Press.,2005-00-00 2005,Triangular Press,"Portland, Ore.",978-0-9748323-8-8,,,,,,,,,,Half-life,Barbara Tetenbaum; Multnomah County Library Collins Gallery.
5ECYVY6V,3,,3:5ECYVY6V; 2:FP33BXW6,"Hand, voice & vision: artists' books from Women's Studio Workshop",2010-00-00 2010,Women's Studio Workshop,"Rosendale, N.Y.",1-893125-78-5,,,,,,,,,,"Hand, voice & vision",Kathy Walkup
26GP7DK4,3,,3:26GP7DK4; 2:CQA2Q569,Hojeando--- : cuatro décadas de libros y revistas de artistas en España = Leafing--- : four decades of artists' books and magazines in Spain,2008-00-00 2008,"Commericial distribution, ACTAR D",Madrid,84-96933-15-6,,,,,,,,,,Hojeando---,Aliksāndrīnā (Library); José Arturo Rodríguez Núñez; Sociedad Estatal para la Acción Cultural Exterior (Spain); Susana Urraca
8D897TC6,3,,3:8D897TC6; 2:G8ZZD6VF,"Illuminating words: the artist's books of Christopher Gausby / Antonetti, Martin G.",1999-00-00 1999,Smith College Museum of Art,"Northampton, Mass.",0-87391-051-6,,English,,,,,,,,Illuminating words,Véronique Plesch; Smith College; Museum of Art.; Museum of Art.
9WCCSGP6,3,,3:9WCCSGP6; 2:AIM6IJ22,"Imagining language: an anthology / McCaffery, Steve.",1998-00-00 1998,MIT Press,"Cambridge, Mass.",0-262-18186-X,,English,618,,,,,,,Imagining language,Jed Rasula
GIYZGQW3,3,,3:GIYZGQW3; 2:WRW7IZN3,In celebration of book art,1980-00-00 1980,"School of Arts, VCU",VA,,,,,,,,,,ID: VCU_ALMA21351645860001101,,the Arts Virginia Commonwealth University School of; Cabell Library James Branch; Anderson Gallery; the Arts Virginia Commission on; Franklin Furnace (Archive)
VPYVCBG9,3,,3:VPYVCBG9; 2:CPVE2HRM,"In context : contemporary artists' books and their antecedents : March 14-April 27, 1986",1986-00-00 1986,The Athenaeum,"Alexandria, VA",,,,,,,,,,Includes bibliographical references (page 16).; ID: VCU_ALMA21353361110001101,,"Anne-Catherine Fallen; Kevin Osborn; host institution, Va.) Athenaeum (Alexandria"
YXDSFKXN,3,,3:YXDSFKXN; 2:PGZ6WABM,In numbers : serial publications by artists since 1955,2009-00-00 2009,JRP/Ringier Kunstverlag,"Zurich, Switzerland",0-9715480-7-2,,,,1st ed.,,,,,,In numbers,Philip Aarons; Victor Brand; Andrew Roth
